,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,Christmas Eve,Christmas Eve_lower,Christmas Eve_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Spring Festival,Spring Festival_lower,Spring Festival_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
0,2010-01-01,0.0,15068345.077079456,85609476.97967151,85609476.97967151,15068345.077079456,15068345.077079456,50610571.57065457,151314150.4260313,0.0,0.0,0.0,0.0,0.0,0.0,63615549.01432112,63615549.01432112,63615549.01432112,0.0,0.0,0.0,6677102.461645832,6677102.461645832,6677102.461645832,15316825.503704565,15316825.503704565,15316825.503704565,85609476.97967151,100677822.05675097
1,2010-01-02,0.0003912363067292645,15094812.745838525,93062026.59543505,93062026.59543505,15094812.745838525,15094812.745838525,58517049.257058896,152883366.00484335,0.0,0.0,0.0,0.0,0.0,0.0,39979901.798281774,39979901.798281774,39979901.798281774,0.0,0.0,0.0,38893217.989985414,38893217.989985414,38893217.989985414,14188906.807167867,14188906.807167867,14188906.807167867,93062026.59543505,108156839.34127358
2,2010-01-03,0.000782472613458529,15121280.414597591,37849056.106988385,37849056.106988385,15121280.414597591,15121280.414597591,1003588.3736254108,99959185.56641684,0.0,0.0,0.0,0.0,0.0,0.0,-556076.8716739421,-556076.8716739421,-556076.8716739421,0.0,0.0,0.0,25513248.959047537,25513248.959047537,25513248.959047537,12891884.019614784,12891884.019614784,12891884.019614784,37849056.10698838,52970336.52158597
3,2010-01-04,0.0011737089201877935,15147748.08335666,-22243052.377965376,-22243052.377965376,15147748.08335666,15147748.08335666,-57548266.842939526,43912108.87610834,0.0,0.0,0.0,0.0,0.0,0.0,-14778614.61373065,-14778614.61373065,-14778614.61373065,0.0,0.0,0.0,-18908651.730028596,-18908651.730028596,-18908651.730028596,11444213.965793867,11444213.965793867,11444213.965793867,-22243052.37796538,-7095304.29460872
4,2010-01-05,0.001564945226917058,15174215.752115726,-6278933.030884089,-6278933.030884089,15174215.752115726,15174215.752115726,-44896870.60448936,59240191.19820555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16146065.878732461,-16146065.878732461,-16146065.878732461,9867132.847848367,9867132.847848367,9867132.847848367,-6278933.030884095,8895282.721231632
5,2010-01-06,0.0019561815336463224,15200683.420874795,-12368069.216790354,-12368069.216790354,15200683.420874795,15200683.420874795,-47908641.86893107,48558550.096477024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20552432.729009166,-20552432.729009166,-20552432.729009166,8184363.512218815,8184363.512218815,8184363.512218815,-12368069.216790352,2832614.204084443
6,2010-01-07,0.002347417840375587,15227151.089633863,-9054644.807073023,-9054644.807073023,15227151.089633863,15227151.089633863,-44729350.55261028,55072601.08636126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15476419.072920518,-15476419.072920518,-15476419.072920518,6421774.265847496,6421774.265847496,6421774.265847496,-9054644.807073023,6172506.28256084
7,2010-01-08,0.0027386541471048514,15253618.75839293,11284096.61475227,11284096.61475227,15253618.75839293,15253618.75839293,-24208972.739788253,73826086.66969784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6677102.461682536,6677102.461682536,6677102.461682536,4606994.153069733,4606994.153069733,4606994.153069733,11284096.614752268,26537715.3731452
8,2010-01-09,0.003129890453834116,15280086.427151999,41662208.44532125,41662208.44532125,15280086.427151999,15280086.427151999,7318315.293527925,105048700.35437334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893217.98998695,38893217.98998695,38893217.98998695,2768990.4553342937,2768990.4553342937,2768990.4553342937,41662208.44532124,56942294.87247324
9,2010-01-10,0.0035211267605633804,15306554.095911067,26450863.910664916,26450863.910664916,15306554.095911067,15306554.095911067,-8861988.76775064,90642001.72737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25513248.959049456,25513248.959049456,25513248.959049456,937614.9516154659,937614.9516154659,937614.9516154659,26450863.910664923,41757418.00657599
10,2010-01-11,0.003912363067292645,15333021.764670134,-19765525.568531495,-19765525.568531495,15333021.764670134,15333021.764670134,-55131299.779849455,44932972.04584648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18908651.72998618,-18908651.72998618,-18908651.72998618,-856873.8385453152,-856873.8385453152,-856873.8385453152,-19765525.568531495,-4432503.803861361
