InsertDate,BoxOffice,ServicePrice,ShowCount,AudienceCount,BoxOfficeMoM
2017-03-17,61526783.05,,226746,1730104,72.2
2017-03-16,35729891.77,2782452.87,236746,1212117,-2.23
2017-03-15,36543870.14,2888485.25,238098,1256769,-13.04
2017-03-14,42022618.02,3372022.16,240500,1447683,2.16
2017-03-13,41136000.06,3368740.16,241700,1411713,-66.32
2017-03-12,122151157.2,9382289.22,262642,4128727,-23.42
2017-03-11,159507124.61,11770026.71,264273,5384902,82.53
2017-03-10,87384733.23,6334275.76,255556,3012096,68.84
2017-03-09,51754645.41,3760122.18,241030,1761357,-51.98
2017-03-08,107777146.32,7199802.36,243198,3684404,65.43
2017-03-07,65148957.91,5270426.56,241992,2213758,-6.66
2017-03-06,69799926.21,5845838.18,243246,2363379,-63.22
2017-03-05,189751824.83,14808264.7,262689,6273509,-23.1
2017-03-04,246745937.4,18648176.78,264751,8114400,53.74
2017-03-03,160496359.12,12250615.73,255594,5367270,186.44
2017-03-02,56031671.05,4068073.18,250914,1738886,-6.18
2017-03-01,59721928.56,4470993.53,247273,1847382,-21.1
2017-02-28,75691019.45,5440549.76,249694,2359249,-14.32
2017-02-27,88336704.56,6534633.03,252806,2732102,-63.51
2017-02-26,242067375.41,17896409.87,272940,7403314,-27.76
2017-02-25,335109185.27,24089564.22,275608,10259434,25.38
2017-02-24,267273996.86,19102669.61,266241,8339799,279.45
2017-02-23,70437942.88,4951003.87,253352,2209551,25.37
2017-02-22,56185796.68,3949715.08,245526,1760223,-5.63
2017-02-21,59535449.66,4219712.2,246665,1855247,-4.72
2017-02-20,62483838.78,4571661.73,248714,1962911,-59.53
2017-02-19,154391751.7,10999727.93,266104,4751720,-17.61
2017-02-18,187399258.05,12949431.8,267625,5758883,59.26
2017-02-17,117669346.4,8158463.03,260305,3653578,29.7
2017-02-16,90720984.31,6477753.81,256505,2795572,-14.56
2017-02-15,106184451.65,7770345.16,259354,3281900,-71.01
2017-02-14,366333186.52,26701109.17,278418,11098819,188.64
2017-02-13,126917982.08,8737198.73,266818,3746723,-45.81
2017-02-12,234216932.19,15654856.81,279793,6888335,-26.91
2017-02-11,320442812.61,20729547.03,282394,9494855,24.33
2017-02-10,257735707.55,17361635.83,279567,7772368,78.24
2017-02-09,144597287.64,9324659.34,275981,4268440,-4.83
2017-02-08,151932462.05,9675921.82,274484,4477845,-13.96
2017-02-07,176590200.12,11131749.8,276785,5210861,-13.69
2017-02-06,204592099.19,13154291.89,280199,6001039,-37.17
2017-02-05,325649360.52,21638058.2,287744,9380767,4.13
2017-02-04,312724192.09,20756647.59,288446,9056575,-15.9
2017-02-03,371842020.81,24669241.44,294222,10782860,-13.89
2017-02-02,431811141.15,26988968.01,300788,12178871,-4.86
2017-02-01,453881173.48,28620152.47,304418,12776547,-4.18
2017-01-31,473673527.63,28708686.89,306528,13254796,-8.12
2017-01-30,515512613.72,30874519.11,310514,14353969,-7.34
2017-01-29,556372150.79,30428308.66,313227,15472315,-27.48
2017-01-28,767244327.97,42138935.87,318310,21387168,1719.16
2017-01-27,42175739.5,2340165.93,118441,1236125,-21.23
2017-01-26,53542587.89,3600728.03,230878,1726254,-7.77
2017-01-25,58052950.89,3944319.31,232921,1888531,1.28
2017-01-24,57320044.71,3913402.25,231312,1877352,1.4
2017-01-23,56530574.61,3923352.23,229387,1841554,-13.4
2017-01-22,65281349.54,4439608.91,239061,2097794,-28.55
2017-01-21,91370732.29,6140606.21,243491,2890713,34.96
2017-01-20,67703516.82,4715381.56,233674,2210155,21.13
2017-01-19,55892434.75,3649928.39,226568,1776696,-3.46
2017-01-18,57895756.07,3782512.54,226860,1841843,-3.92
2017-01-17,60259135.82,3930055.41,226994,1923826,-2.75
2017-01-16,61960265.09,4060916.9,227698,1964834,-49.94
2017-01-15,123764179.78,7831365.69,245110,3818421,-10.59
2017-01-14,138423021.64,8793367.42,247347,4243930,41.31
2017-01-13,97958220.1,6226322.12,239793,3070837,64.49
2017-01-12,59553597.41,3768512.8,215572,1884614,1.18
2017-01-11,58858315.2,3823556.29,213751,1871426,1.37
2017-01-10,58063887.38,3788656.97,214044,1838250,-0.86
2017-01-09,58564791.56,3937099.07,215237,1838629,-55.53
2017-01-08,131705989.66,8698822.53,234296,4015719,-17.19
2017-01-07,159049682.01,9702566.12,235956,4805759,39.71
2017-01-06,113843557.63,6043990.94,223756,3471546,91.55
