Irank,CinemaLineID,EnbaseID,CinemaLineName,BoxOffice,ShowCount,AudienceCount,ServicePrice,AvgShowPeople,year
1,51,2,万达院线,1389404954.17,729751,35944554,,49.0,2010
2,50,5,中影星美,1120937316.71,940846,29621948,,31.0,2010
3,53,3,上海联和院线,959951903.8,700362,25031326,,36.0,2010
4,59,7,四川太平洋,926010558.68,702474,24660914,,35.0,2010
5,52,4,北京新影联,727186817.82,636409,20140974,,32.0,2010
6,62,6,广州金逸珠江,695584349.24,475974,18085560,,38.0,2010
7,55,10,浙江时代,417821840.35,402877,12157160,,30.0,2010
8,73,47,大地院线,366944164.86,385228,13155904,,34.0,2010
9,56,1,中影南方新干线,319476485.21,207436,8647526,,42.0,2010
10,70,9,辽宁北方,301034900.96,360249,10196774,,28.0,2010
11,68,43,横店院线,218401431.88,191598,7105227,,37.0,2010
12,66,13,河南奥斯卡,218391185.17,251131,7246210,,29.0,2010
13,65,62,时代华夏今典,185868819.18,246656,6292516,,26.0,2010
14,63,12,湖北银兴,184152428.09,182720,6054333,,33.0,2010
15,71,25,世纪环球,175102363.66,131346,4840705,,37.0,2010
16,60,16,武汉天河,159868474.26,129304,4945198,,38.0,2010
17,58,36,保利万和,145691439.16,162152,4619862,,28.0,2010
18,75,14,江苏东方,127905282.01,139110,4270183,,31.0,2010
19,61,8,上海大光明,124966129.2,53446,2709516,,51.0,2010
20,67,61,中影数字院线,111206750.23,218477,4011577,,18.0,2010
21,76,17,温州雁荡,99257748.65,68194,2235572,,33.0,2010
22,57,24,江苏幸福蓝海院线,94627667.9,69958,2753991,,39.0,2010
23,74,19,山东新世纪,92707581.04,185960,3234656,,17.0,2010
24,54,37,浙江星光,58003790.33,69861,1557980,,22.0,2010
25,80,21,福建中兴,48416571.62,53084,1456818,,27.0,2010
26,83,15,四川峨嵋,37867413.6,115893,1335527,,12.0,2010
27,81,53,河北中联,33347721.5,43944,1131436,,26.0,2010
28,82,63,九州中原院线,30631358.95,72644,1110149,,15.0,2010
29,87,22,湖南楚湘,23145082.04,44108,821824,,19.0,2010
30,69,74,华夏联合,20532554.4,19809,563816,,28.0,2010
31,93,66,未知,19195899.5,20516,758336,,37.0,2010
32,78,18,湖南潇湘,11782144.99,33744,475182,,14.0,2010
33,98,20,新疆公司,11399150.0,27488,466086,,17.0,2010
34,101,80,安徽中安,7683535.0,8002,217931,,27.0,2010
35,88,52,天津银光,5981743.0,17234,197800,,11.0,2010
36,86,23,西安长安,4491932.0,14083,174448,,12.0,2010
37,84,57,吉林吉影,2584005.0,4330,98098,,23.0,2010
38,72,64,华夏新华大地,1144879.02,3807,43489,,11.0,2010
39,77,77,深影橙天院线,520465.0,404,23603,,58.0,2010
