GenreID,GenreName,MovieCount,MovieCountPercent,MovieCountYoY,BoxOffice,BoxOfficePercent,BoxOfficeYoY,ShowCount,ShowCountPercent,ShowCountYoY,AudienceCount,AudienceCountPercent,AudienceCountYoY,year
1,爱情,41,18.89,32.26,1103170096.0,11.35,171.05,1167150,13.98,138.42,32534735,11.88,148.73,2010
5,动作,39,17.97,105.26,2460701892.0,25.31,203.45,2487001,29.79,169.54,75488283,27.56,188.89,2010
12,剧情,35,16.13,-36.36,899546169.0,9.25,9.89,643420,7.71,-24.07,25092516,9.16,-9.69,2010
21,喜剧,31,14.29,24.0,1341445642.0,13.8,78.53,1232281,14.76,60.42,39916837,14.57,56.98,2010
40,惊悚,22,10.14,144.44,335298941.0,3.45,-5.16,536720,6.43,31.7,10995832,4.01,-2.73,2010
4,动画,21,9.68,-8.7,551550897.0,5.67,-2.27,565826,6.78,26.62,15314347,5.59,9.21,2010
13,科幻,11,5.07,57.14,2323554511.0,23.9,253.15,1177664,14.11,116.23,56741233,20.72,170.1,2010
96,纪录片,6,2.76,20.0,24056012.0,0.25,415.85,28146,0.34,84.89,607317,0.22,132.82,2010
45,奇幻,4,1.84,0.0,640828527.0,6.59,161.65,441332,5.29,88.61,15814180,5.77,100.03,2010
27,战争,4,1.84,-42.86,38310225.0,0.39,-90.86,59779,0.72,-79.55,1239910,0.45,-90.44,2010
35,舞台艺术片,2,0.92,0.0,1974155.0,0.02,0.0,4910,0.06,0.0,145094,0.05,0.0,2010
29,歌舞,1,0.46,-66.67,470557.0,0.0,-99.13,3813,0.05,-94.02,19388,0.01,-98.89,2010
1,爱情,54,21.18,31.71,1663288501.0,13.8,50.77,2540892,19.79,117.7,50705244,14.98,55.85,2011
5,动作,42,16.47,7.69,2613460681.0,21.69,6.21,3015877,23.49,21.27,73953031,21.84,-2.03,2011
12,剧情,41,16.08,17.14,78715044.0,0.65,-91.25,157506,1.23,-75.52,2729139,0.81,-89.12,2011
21,喜剧,34,13.33,9.68,965609844.0,8.01,-28.02,1242132,9.67,0.8,28928856,8.54,-27.53,2011
40,惊悚,26,10.2,18.18,645096960.0,5.35,92.39,1063963,8.29,98.23,19647185,5.8,78.68,2011
4,动画,26,10.2,23.81,1639964247.0,13.61,197.34,1544328,12.03,172.93,45855971,13.54,199.43,2011
13,科幻,9,3.53,-18.18,1858672107.0,15.43,-20.01,1378984,10.74,17.09,49534852,14.63,-12.7,2011
27,战争,9,3.53,125.0,1137324795.0,9.44,2868.72,915654,7.13,1431.73,30321874,8.96,2345.49,2011
96,纪录片,9,3.53,50.0,199991451.0,1.66,731.36,122838,0.96,336.43,6162422,1.82,914.7,2011
45,奇幻,5,1.96,25.0,1246686087.0,10.35,94.54,857824,6.68,94.37,30745373,9.08,94.42,2011
1,爱情,81,21.66,50.0,3029932965.0,17.9,82.17,3674596,17.49,44.62,80656696,17.0,59.07,2012
