Irank,EnMovieID,MovieName,BoxOffice,ShowCount,AudienceCount,AvgBoxOffice,ServicePrice
1,626153,美人鱼,3392127828.0,2121623,92434405,36,0.0
2,627896,捉妖记,2439998298.0,1575553,65630079,37,0.0
3,629625,速度与激情7,2426588790.0,1479430,62446223,38,336.0
4,612232,变形金刚4：绝迹重生,1977558981.0,956780,47418880,41,0.0
5,614981,寻龙诀,1682739322.0,1155242,46478052,36,80.0
6,629898,功夫瑜伽,1647953754.0,1373593,45895815,38,104306514.0
7,618038,港囧,1613600799.0,1223269,49111245,32,48.0
8,619719,西游伏妖篇,1567064614.0,1174388,42312462,39,89451357.0
9,643235,疯狂动物城,1530335500.0,1582966,45481409,33,34.0
10,402117,魔兽,1472149082.0,1592846,39715060,37,0.0
11,631792,复仇者联盟2：奥创纪元,1464392943.0,1283043,36599504,40,0.0
12,628183,夏洛特烦恼,1441606707.0,1324470,44767512,32,12.0
13,348959,侏罗纪世界,1420697837.0,1133350,37102823,38,0.0
14,303851,阿凡达,1339858550.0,374343,26925977,49,
15,610009,人再囧途之泰囧,1271534751.0,867527,39248640,32,982.0
16,589797,西游降魔篇,1246990794.0,764911,31050325,40,0.0
17,643612,美国队长3：英雄内战,1246265876.0,1421744,35620876,34,0.0
18,626346,西游记之孙悟空三打白骨精,1201017476.0,919201,32753186,36,27.0
19,639445,湄公河行动,1184312189.0,1594193,38930417,30,757.0
20,618111,心花路放,1170025714.0,953629,34003314,34,0.0
21,595849,长城,1166131861.0,1571110,33410760,35,8388379.0
22,629410,煎饼侠,1160328632.0,906464,35514834,32,132.0
23,637759,澳门风云3,1118188369.0,873847,31375530,35,0.0
24,589793,变形金刚3,1071571922.0,476536,25643736,41,
25,573814,极限特工：终极回归,1050286457.0,1361480,31061656,36,74753657.0
26,589349,西游记之大闹天宫,1045601404.0,629760,24942639,41,0.0
27,623100,生化危机：终章,1015822516.0,1461308,31407366,34,74755565.0
28,611818,盗墓笔记,1004413706.0,1040953,28516462,35,0.0
29,639351,功夫熊猫3,1002003801.0,1137147,28141951,35,0.0
30,655798,乘风破浪,980201053.0,1057757,28857998,36,68058313.0
31,625797,奇幻森林,979353970.0,1214519,29209619,33,0.0
32,627594,澳门风云2,974914936.0,680882,24860149,39,0.0
33,630887,西游记之大圣归来,956521405.0,802839,27594044,34,0.0
34,596420,泰坦尼克号3D,946210998.0,391690,21255914,44,0.0
35,617155,老炮儿,902797023.0,759602,28696806,31,0.0
36,621641,绝地逃亡,889400898.0,1029370,25611704,34,0.0
37,613812,智取威虎山,881989297.0,769516,21485589,41,44.0
38,573367,十二生肖,881181050.0,587307,21935343,40,
39,636000,碟中谍5：神秘国度,869769067.0,1016613,26529668,32,
40,631832,星球大战：原力觉醒,825575484.0,929200,22172138,37,65.0
41,638436,唐人街探案,823547189.0,776997,25939351,31,48.0
42,626806,从你的全世界路过,814196028.0,1179102,26085067,31,0.0
43,642020,X战警：天启,802841011.0,1002199,23308110,34,0.0
44,639261,北京遇上西雅图之不二情书,786780857.0,966530,23478506,33,0.0
45,610219,叶问3,770289102.0,864991,19838452,38,
46,625819,霍比特人3：五军之战,766503146.0,644368,19182355,39,
